Args:
	algorithm: ERM
	checkpoint_freq: None
	data_dir: data
	dataset: RotatedMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: output/erm/256_60_e4
	seed: 0
	steps: None
	test_envs: [4]
	trial_seed: 0
HParams:
	batch_size: 256
	class_balanced: False
	fd: 60
	groupdro_eta: 0.01
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 0.001
	mixup_alpha: 0.2
	mldg_beta: 1.0
	mlp_depth: 3
	mlp_dropout: 0.0
	mlp_width: 256
	mmd_gamma: 1.0
	resnet_dropout: 0.0
	weight_decay: 0.0
saved at step 0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  env4_in_acc   env4_out_acc  env5_in_acc   env5_out_acc  epoch         loss          step          step_time    
0.1037068781  0.1050150021  0.1265266767  0.1234462066  0.1542746947  0.1543077583  0.1693807585  0.1594513502  0.1692917604  0.1723103300  0.1565413050  0.1585940849  0.0000000000  2.3160164356  0             0.8920826912 
saved at step 100
0.8447610885  0.8294042006  0.8907220913  0.8924132019  0.9046496679  0.8988426918  0.9032569102  0.8992713245  0.8856744884  0.8889841406  0.8784956606  0.8851264466  100.00000000  1.6529221344  100           0.1734781265 
saved at step 200
0.9185772445  0.9031290184  0.9447182344  0.9468495499  0.9418255839  0.9318474068  0.9394686094  0.9318474068  0.9259616415  0.9211315902  0.9167470267  0.9288469781  200.00000000  1.0050186139  200           0.1676138783 
saved at step 300
0.9818941504  0.9622803258  0.9867152346  0.9794256322  0.9829655025  0.9734247750  0.9806085280  0.9772824689  0.9693560484  0.9618516931  0.9724633023  0.9665666524  300.00000000  0.6047213548  300           0.1698012018 
0.9376473109  0.9168452636  0.9580029998  0.9498499786  0.9512534819  0.9507072439  0.9446110992  0.9434204886  0.9252116147  0.9202743249  0.9122468660  0.9138448350  400.00000000  0.3786829337  400           0.1697388434 
0.9514677523  0.9429918560  0.9709663595  0.9652807544  0.9681808442  0.9609944278  0.9677523034  0.9571367338  0.9515696989  0.9549935705  0.9560698596  0.9429918560  500.00000000  0.2516403143  500           0.1702900600 
saved at step 600
0.9927148061  0.9794256322  0.9965716735  0.9871410201  0.9964645382  0.9884269181  0.9975358903  0.9837119589  0.9827493839  0.9832833262  0.9947498125  0.9832833262  600.00000000  0.1772358336  600           0.1692533040 
0.9599314335  0.9399914273  0.9769659310  0.9729961423  0.9812513392  0.9759965709  0.9787872295  0.9725675096  0.9607843137  0.9618516931  0.9644273010  0.9554222032  700.00000000  0.1332102693  700           0.1690299678 
0.9937861581  0.9738534076  0.9953931862  0.9849978568  0.9947503750  0.9862837548  0.9922862653  0.9815687955  0.9757848495  0.9717102443  0.9842494375  0.9661380197  800.00000000  0.1041491447  800           0.1690510392 
0.9958217270  0.9764252036  0.9973216199  0.9914273468  0.9951789158  0.9789969996  0.9937861581  0.9858551222  0.9739633558  0.9682811830  0.9840351441  0.9635662237  900.00000000  0.0835482822  900           0.1697641754 
0.9856438826  0.9661380197  0.9870366402  0.9777111016  0.9835011785  0.9781397342  0.9777158774  0.9704243463  0.9611057538  0.9597085298  0.9645344477  0.9567081012  1000.0000000  0.0677909252  1000          0.1686533356 
0.9805013928  0.9537076725  0.9862866938  0.9777111016  0.9837154489  0.9691384483  0.9795371759  0.9665666524  0.9657130612  0.9644234891  0.9781420765  0.9652807544  1100.0000000  0.0579165287  1100          0.1694704771 
0.9854296122  0.9669952850  0.9905721020  0.9768538363  0.9860724234  0.9734247750  0.9869295050  0.9755679383  0.9716061288  0.9669952850  0.9837137041  0.9717102443  1200.0000000  0.0471920420  1200          0.1687500978 
0.9973216199  0.9772824689  0.9976430255  0.9845692242  0.9980715663  0.9879982855  0.9991429184  0.9849978568  0.9839279974  0.9811401629  0.9986070931  0.9828546935  1300.0000000  0.0415535385  1300          0.1688592887 
saved at step 1400
0.9988215127  0.9785683669  0.9995714592  0.9897128161  0.9992500536  0.9879982855  0.9987143775  0.9879982855  0.9853209043  0.9777111016  0.9975356263  0.9781397342  1400.0000000  0.0346048900  1400          0.1698153186 
saved at step 1500
1.0000000000  0.9849978568  0.9998928648  0.9897128161  1.0000000000  0.9914273468  1.0000000000  0.9909987141  0.9898210650  0.9849978568  0.9997857066  0.9875696528  1500.0000000  0.0290152642  1500          0.1672276592 
saved at step 1600
1.0000000000  0.9862837548  1.0000000000  0.9901414488  1.0000000000  0.9922846121  1.0000000000  0.9918559794  0.9896067717  0.9858551222  0.9998928533  0.9854264895  1600.0000000  0.0253710391  1600          0.1703578210 
saved at step 1700
1.0000000000  0.9858551222  1.0000000000  0.9901414488  1.0000000000  0.9927132447  1.0000000000  0.9918559794  0.9900353584  0.9862837548  0.9998928533  0.9871410201  1700.0000000  0.0224049958  1700          0.1695376277 
1.0000000000  0.9854264895  1.0000000000  0.9901414488  1.0000000000  0.9927132447  1.0000000000  0.9922846121  0.9899282117  0.9862837548  0.9998928533  0.9867123875  1800.0000000  0.0199342705  1800          0.1690408278 
saved at step 1900
1.0000000000  0.9854264895  1.0000000000  0.9905700814  1.0000000000  0.9931418774  1.0000000000  0.9927132447  0.9901425051  0.9867123875  0.9998928533  0.9875696528  1900.0000000  0.0179414503  1900          0.1675235629 
1.0000000000  0.9858551222  1.0000000000  0.9901414488  1.0000000000  0.9922846121  1.0000000000  0.9918559794  0.9897139184  0.9867123875  0.9998928533  0.9862837548  2000.0000000  0.0161299687  2000          0.1677910948 
1.0000000000  0.9867123875  1.0000000000  0.9905700814  1.0000000000  0.9922846121  1.0000000000  0.9927132447  0.9897139184  0.9858551222  0.9998928533  0.9871410201  2100.0000000  0.0148666687  2100          0.1696677184 
1.0000000000  0.9862837548  1.0000000000  0.9901414488  1.0000000000  0.9922846121  1.0000000000  0.9931418774  0.9898210650  0.9867123875  0.9998928533  0.9875696528  2200.0000000  0.0133764527  2200          0.1676015925 
1.0000000000  0.9862837548  1.0000000000  0.9905700814  1.0000000000  0.9922846121  1.0000000000  0.9927132447  0.9897139184  0.9862837548  0.9998928533  0.9871410201  2300.0000000  0.0121564022  2300          0.1688988757 
1.0000000000  0.9849978568  1.0000000000  0.9905700814  1.0000000000  0.9914273468  1.0000000000  0.9922846121  0.9893924783  0.9871410201  1.0000000000  0.9862837548  2400.0000000  0.0112539417  2400          0.1693761539 
1.0000000000  0.9849978568  1.0000000000  0.9905700814  1.0000000000  0.9914273468  1.0000000000  0.9931418774  0.9896067717  0.9871410201  1.0000000000  0.9867123875  2500.0000000  0.0101557208  2500          0.1674509621 
