Args:
	algorithm: ERM
	checkpoint_freq: None
	data_dir: data
	dataset: RotatedMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: output/erm/256_60_e2
	seed: 0
	steps: None
	test_envs: [2]
	trial_seed: 0
HParams:
	batch_size: 256
	class_balanced: False
	fd: 60
	groupdro_eta: 0.01
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 0.001
	mixup_alpha: 0.2
	mldg_beta: 1.0
	mlp_depth: 3
	mlp_dropout: 0.0
	mlp_width: 256
	mmd_gamma: 1.0
	resnet_dropout: 0.0
	weight_decay: 0.0
saved at step 0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  env4_in_acc   env4_out_acc  env5_in_acc   env5_out_acc  epoch         loss          step          step_time    
0.0730662096  0.0814402057  0.1087422327  0.1075867981  0.1310263553  0.1281611659  0.1485965288  0.1414487784  0.1547198114  0.1491641663  0.1461480767  0.1521645949  0.0000000000  2.3204770088  0             1.0193371773 
saved at step 100
0.9251124920  0.9147021003  0.9381829869  0.9327046721  0.9340047139  0.9391341620  0.9435397472  0.9412773253  0.9419264974  0.9344192027  0.9272474017  0.9352764681  100.00000000  1.6645997739  100           0.1705307460 
saved at step 200
0.9802871223  0.9725675096  0.9862866938  0.9781397342  0.9791086351  0.9772824689  0.9868223698  0.9802828976  0.9843565842  0.9781397342  0.9789992500  0.9729961423  200.00000000  1.0112982112  200           0.1689627099 
0.9585386758  0.9451350193  0.9584315406  0.9519931419  0.9403256910  0.9425632233  0.9510392115  0.9507072439  0.9531768992  0.9459922846  0.9462123647  0.9412773253  300.00000000  0.6083741286  300           0.1704301143 
saved at step 400
0.9868223698  0.9695670810  0.9890722091  0.9811401629  0.9769659310  0.9794256322  0.9890722091  0.9867123875  0.9897139184  0.9768538363  0.9899282117  0.9815687955  400.00000000  0.3811582655  400           0.1699455738 
0.9681808442  0.9489927132  0.9766445254  0.9682811830  0.9659310049  0.9682811830  0.9748232269  0.9661380197  0.9770706097  0.9669952850  0.9643201543  0.9558508358  500.00000000  0.2535600749  500           0.1703306437 
0.9825369616  0.9674239177  0.9878937219  0.9764252036  0.9755731733  0.9802828976  0.9873580459  0.9781397342  0.9888567449  0.9777111016  0.9873566913  0.9781397342  600.00000000  0.1785843310  600           0.1689863729 
0.9628240840  0.9494213459  0.9751446325  0.9622803258  0.9619670024  0.9584226318  0.9730019284  0.9704243463  0.9707489553  0.9618516931  0.9584270867  0.9558508358  700.00000000  0.1327362762  700           0.1706328177 
0.9874651811  0.9639948564  0.9920719949  0.9794256322  0.9762159846  0.9789969996  0.9923934005  0.9849978568  0.9931426122  0.9819974282  0.9926068788  0.9781397342  800.00000000  0.1040927009  800           0.1687480187 
0.8930790658  0.8812687527  0.9043282623  0.9142734676  0.9025069638  0.9009858551  0.9368973645  0.9292756108  0.9523197257  0.9378482640  0.9374263367  0.9352764681  900.00000000  0.0807551779  900           0.1679274154 
0.9770730662  0.9601371625  0.9823226912  0.9742820403  0.9675380330  0.9614230604  0.9828583673  0.9734247750  0.9833922640  0.9708529790  0.9808207436  0.9687098157  1000.0000000  0.0668550258  1000          0.1689462781 
