Args:
	algorithm: MCR
	checkpoint_freq: None
	data_dir: data
	dataset: RotatedMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: output/svdsvm/svd_5
	seed: 0
	steps: None
	test_envs: [5]
	trial_seed: 0
HParams:
	batch_size: 256
	class_balanced: False
	classification: svd
	fd: 60
	groupdro_eta: 0.01
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 0.001
	mixup_alpha: 0.2
	mldg_beta: 1.0
	mlp_depth: 3
	mlp_dropout: 0.0
	mlp_width: 256
	mmd_gamma: 1.0
	n_comp: 6
	resnet_dropout: 0.0
	weight_decay: 0.0
saved at step 0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  env4_in_acc   env4_out_acc  env5_in_acc   env5_out_acc  epoch         loss          step          step_time    
0.9994643240  0.9841405915  0.9977501607  0.9914273468  0.9964645382  0.9879982855  0.9987143775  0.9918559794  0.9983927997  0.9849978568  0.9679631415  0.9674239177  2400.0000000  -22.66022499  2400          0.2741157031 
0.9994643240  0.9854264895  0.9997857296  0.9909987141  0.9994643240  0.9909987141  0.9993571888  0.9944277754  0.9984999464  0.9832833262  0.9604628737  0.9618516931  2500.0000000  -22.69219724  2500          0.2725375509 
0.9991429184  0.9854264895  0.9995714592  0.9914273468  0.9992500536  0.9888555508  0.9995714592  0.9918559794  0.9984999464  0.9841405915  0.9614271938  0.9635662237  2600.0000000  -22.71202079  2600          0.2699301362 
0.9995714592  0.9824260609  0.9997857296  0.9922846121  0.9996785944  0.9922846121  0.9995714592  0.9931418774  0.9986070931  0.9845692242  0.9659273545  0.9678525504  2700.0000000  -22.71681776  2700          0.2770267272 
0.9995714592  0.9854264895  0.9996785944  0.9922846121  0.9996785944  0.9914273468  0.9995714592  0.9935705101  0.9988213865  0.9849978568  0.9627129540  0.9674239177  2800.0000000  -22.74318899  2800          0.2729054165 
0.9995714592  0.9849978568  0.9997857296  0.9909987141  0.9996785944  0.9905700814  0.9995714592  0.9935705101  0.9987142398  0.9854264895  0.9631415408  0.9657093871  2900.0000000  -22.77209157  2900          0.2720833683 
0.9995714592  0.9862837548  0.9997857296  0.9905700814  0.9996785944  0.9901414488  0.9995714592  0.9909987141  0.9987142398  0.9867123875  0.9622843673  0.9627089584  3000.0000000  -22.80264184  3000          0.2667505217 
0.9995714592  0.9828546935  0.9997857296  0.9914273468  0.9996785944  0.9905700814  0.9995714592  0.9931418774  0.9988213865  0.9867123875  0.9603557270  0.9618516931  3100.0000000  -22.82641120  3100          0.2643025541 
0.9995714592  0.9841405915  0.9997857296  0.9914273468  0.9996785944  0.9914273468  0.9996785944  0.9931418774  0.9989285332  0.9858551222  0.9596057002  0.9584226318  3200.0000000  -22.81157073  3200          0.2623896050 
0.9995714592  0.9828546935  0.9997857296  0.9918559794  0.9996785944  0.9939991427  0.9996785944  0.9939991427  0.9989285332  0.9854264895  0.9668916747  0.9669952850  3300.0000000  -22.85620550  3300          0.2666708207 
