Args:
	algorithm: ERM
	checkpoint_freq: None
	data_dir: data
	dataset: RotatedMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: output/erm/256_60_e1
	seed: 0
	steps: None
	test_envs: [1]
	trial_seed: 0
HParams:
	batch_size: 256
	class_balanced: False
	fd: 60
	groupdro_eta: 0.01
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 0.001
	mixup_alpha: 0.2
	mldg_beta: 1.0
	mlp_depth: 3
	mlp_dropout: 0.0
	mlp_width: 256
	mmd_gamma: 1.0
	resnet_dropout: 0.0
	weight_decay: 0.0
saved at step 0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  env4_in_acc   env4_out_acc  env5_in_acc   env5_out_acc  epoch         loss          step          step_time    
0.0743518320  0.0758679811  0.1118491536  0.1148735534  0.1453824727  0.1337333905  0.1549175059  0.1543077583  0.1577199186  0.1620231462  0.1488267438  0.1495927990  0.0000000000  2.3198215961  0             0.8532567024 
saved at step 100
0.9097921577  0.8906986712  0.9224341118  0.9138448350  0.9454681808  0.9391341620  0.9582172702  0.9528504072  0.9588556734  0.9524217745  0.9419264974  0.9447063866  100.00000000  1.6641275036  100           0.1671574783 
0.8293336190  0.8264037720  0.8727233769  0.8739819974  0.9087208057  0.8945563652  0.9335761731  0.9288469781  0.9306760956  0.9194170596  0.9001392907  0.9112730390  200.00000000  1.0104812562  200           0.1682397747 
saved at step 300
0.9820012856  0.9635662237  0.9779301478  0.9824260609  0.9883222627  0.9819974282  0.9914291836  0.9879982855  0.9872495446  0.9789969996  0.9855351977  0.9789969996  300.00000000  0.6066903639  300           0.1686080766 
0.9650739233  0.9511358766  0.9583244054  0.9579939991  0.9752517677  0.9614230604  0.9828583673  0.9742820403  0.9811421836  0.9704243463  0.9742847959  0.9627089584  400.00000000  0.3790602839  400           0.1685201168 
0.9628240840  0.9464209173  0.9642168417  0.9601371625  0.9775016070  0.9674239177  0.9825369616  0.9815687955  0.9826422372  0.9717102443  0.9795349834  0.9678525504  500.00000000  0.2535265835  500           0.1683291554 
0.9821084208  0.9567081012  0.9749303621  0.9785683669  0.9904649668  0.9841405915  0.9937861581  0.9862837548  0.9931426122  0.9807115302  0.9943212258  0.9828546935  600.00000000  0.1794418602  600           0.1693922591 
0.9810370688  0.9545649378  0.9758945790  0.9704243463  0.9888579387  0.9828546935  0.9943218342  0.9854264895  0.9937854923  0.9802828976  0.9917497053  0.9811401629  700.00000000  0.1325835139  700           0.1680900860 
0.9185772445  0.8984140592  0.9303621170  0.9369909987  0.9558602957  0.9498499786  0.9711806300  0.9597085298  0.9762134362  0.9609944278  0.9732133290  0.9665666524  800.00000000  0.1063141167  800           0.1691788864 
0.9675380330  0.9447063866  0.9656095993  0.9682811830  0.9829655025  0.9725675096  0.9913220484  0.9819974282  0.9897139184  0.9807115302  0.9898210650  0.9747106730  900.00000000  0.0843877850  900           0.1674706173 
saved at step 1000
0.9974287551  0.9747106730  0.9870366402  0.9879982855  0.9993571888  0.9884269181  0.9991429184  0.9948564081  0.9991428265  0.9854264895  0.9977499196  0.9824260609  1000.0000000  0.0661383148  1000          0.1679448342 
saved at step 1100
1.0000000000  0.9832833262  0.9907863724  0.9888555508  0.9998928648  0.9918559794  1.0000000000  0.9944277754  0.9996785599  0.9888555508  0.9997857066  0.9879982855  1100.0000000  0.0528991331  1100          0.1679043198 
saved at step 1200
1.0000000000  0.9854264895  0.9901435612  0.9901414488  1.0000000000  0.9922846121  1.0000000000  0.9944277754  0.9997857066  0.9892841835  0.9997857066  0.9888555508  1200.0000000  0.0446042175  1200          0.1688190126 
saved at step 1300
1.0000000000  0.9854264895  0.9905721020  0.9901414488  1.0000000000  0.9927132447  1.0000000000  0.9939991427  0.9997857066  0.9884269181  0.9998928533  0.9901414488  1300.0000000  0.0381169237  1300          0.1671280622 
1.0000000000  0.9854264895  0.9906792372  0.9892841835  1.0000000000  0.9927132447  1.0000000000  0.9935705101  0.9997857066  0.9884269181  0.9998928533  0.9897128161  1400.0000000  0.0328168362  1400          0.1681361794 
